2021/03/12 14:58:36 ======================================================
2021/03/12 14:59:39 ======================================================
2021/03/12 15:06:22 ======================================================
2021/03/12 15:10:40 Epoch#0: total loss=669.3093
2021/03/12 15:15:05 Epoch#1: total loss=2.3038
2021/03/12 15:19:31 Epoch#2: total loss=2.3035
2021/03/12 21:48:01 ======================================================
2021/03/12 21:48:33 Epoch#0: total training loss=2.2871, total training accuracy=0.1212, total test loss=2.2437, test accuracy=0.1700 
2021/03/12 21:49:02 Epoch#1: total training loss=2.0187, total training accuracy=0.2750, total test loss=1.7958, test accuracy=0.4100 
2021/03/12 21:49:32 Epoch#2: total training loss=1.4871, total training accuracy=0.5225, total test loss=1.5780, test accuracy=0.4350 
2021/03/12 21:49:42 ======================================================
2021/03/12 21:50:12 Epoch#0: total training loss=2.2983, total training accuracy=0.1000, total test loss=2.2824, test accuracy=0.1700 
2021/03/12 21:50:41 Epoch#1: total training loss=2.2237, total training accuracy=0.2537, total test loss=2.1186, test accuracy=0.3350 
2021/03/12 21:51:10 Epoch#2: total training loss=1.6149, total training accuracy=0.5000, total test loss=1.4397, test accuracy=0.5800 
2021/03/12 21:51:39 Epoch#3: total training loss=0.9915, total training accuracy=0.6863, total test loss=0.9663, test accuracy=0.7200 
2021/03/12 21:52:08 Epoch#4: total training loss=0.5879, total training accuracy=0.7987, total test loss=0.8104, test accuracy=0.7700 
2021/03/12 21:52:36 Epoch#5: total training loss=0.4019, total training accuracy=0.8712, total test loss=0.8848, test accuracy=0.7650 
2021/03/12 21:53:05 Epoch#6: total training loss=0.3232, total training accuracy=0.8988, total test loss=0.6720, test accuracy=0.8000 
2021/03/12 21:53:34 Epoch#7: total training loss=0.3357, total training accuracy=0.8750, total test loss=0.6237, test accuracy=0.8150 
2021/03/12 21:54:03 Epoch#8: total training loss=0.1830, total training accuracy=0.9287, total test loss=0.8179, test accuracy=0.7850 
2021/03/12 21:54:32 Epoch#9: total training loss=0.2597, total training accuracy=0.9075, total test loss=0.6360, test accuracy=0.8000 
2021/03/12 21:55:01 Epoch#10: total training loss=0.1180, total training accuracy=0.9575, total test loss=0.6785, test accuracy=0.8300 
2021/03/12 21:55:31 Epoch#11: total training loss=0.0985, total training accuracy=0.9738, total test loss=0.6898, test accuracy=0.8300 
2021/03/12 21:56:00 Epoch#12: total training loss=0.0669, total training accuracy=0.9838, total test loss=0.5320, test accuracy=0.8700 
2021/03/12 21:56:29 Epoch#13: total training loss=0.0646, total training accuracy=0.9825, total test loss=0.8605, test accuracy=0.8400 
2021/03/12 21:56:58 Epoch#14: total training loss=0.0400, total training accuracy=0.9900, total test loss=0.6085, test accuracy=0.8600 
2021/03/12 21:57:27 Epoch#15: total training loss=0.0315, total training accuracy=0.9888, total test loss=0.5904, test accuracy=0.8900 
2021/03/12 21:57:56 Epoch#16: total training loss=0.0046, total training accuracy=1.0000, total test loss=0.5827, test accuracy=0.8950 
2021/03/12 21:58:25 Epoch#17: total training loss=0.0027, total training accuracy=1.0000, total test loss=0.6046, test accuracy=0.8850 
